日付,始値,安値,高値,終値
2018年9月4日,"22,740.05","22,753.18","22,612.15","22,696.9"
2018年9月3日,"22,819.17","22,820.48","22,684.43","22,707.38"
2018年8月31日,"22,733.25","22,890.61","22,678.03","22,865.15"
2018年8月30日,"23,020.18","23,032.17","22,832.83","22,869.5"
2018年8月29日,"22,820.86","22,968.18","22,819.97","22,848.22"
2018年8月28日,"22,967.74","23,006.77","22,813.47","22,813.47"
2018年8月27日,"22,693.69","22,838.06","22,682.39","22,799.64"
日付,始値,安値,高値,終値
2018年8月24日,"22,484.01","22,602.24","22,452.42","22,601.77"
2018年8月23日,"22,420.67","22,463.03","22,377.88","22,410.82"
2018年8月22日,"22,270.04","22,390.2","22,162.81","22,362.55"
2018年8月21日,"22,110.54","22,306.83","22,053.14","22,219.73"
2018年8月20日,"22,267.07","22,288.31","22,150.75","22,199"
2018年8月17日,"22,313.19","22,340.95","22,244.1","22,270.38"
2018年8月16日,"21,980.82","22,240.42","21,871.7","22,192.04"
2018年8月15日,"22,368.12","22,380.28","22,110.29","22,204.22"
2018年8月14日,"22,053.07","22,356.08","22,047.19","22,356.08"
2018年8月13日,"22,117.57","22,124.6","21,851.32","21,857.43"
日付,始値,安値,高値,終値
2018年8月10日,"22,606.91","22,608.86","22,272.69","22,298.08"
2018年8月9日,"22,591.54","22,648.88","22,497.99","22,598.39"
2018年8月8日,"22,666.56","22,800.61","22,610.29","22,644.31"
2018年8月7日,"22,514.31","22,666.68","22,499.05","22,662.74"
2018年8月6日,"22,536.05","22,635.68","22,486.74","22,507.32"
2018年8月3日,"22,585.54","22,613.5","22,490.57","22,525.18"
2018年8月2日,"22,676.73","22,754.73","22,464.81","22,512.53"
2018年8月1日,"22,642.18","22,775.47","22,615.98","22,746.7"
2018年7月31日,"22,472.12","22,678.06","22,352.21","22,553.72"
2018年7月30日,"22,613.3","22,631.32","22,518.94","22,544.84"
日付,始値,安値,高値,終値
2018年7月27日,"22,646.48","22,712.75","22,593.2","22,712.75"
2018年7月26日,"22,711.59","22,717.15","22,549.77","22,586.87"
2018年7月25日,"22,594.28","22,645.66","22,547.14","22,614.25"
2018年7月24日,"22,555.05","22,555.05","22,416.23","22,510.48"
2018年7月23日,"22,480.33","22,507.17","22,341.87","22,396.99"
2018年7月20日,"22,734.56","22,869.98","22,541.35","22,697.88"
2018年7月19日,"22,871.62","22,926.47","22,761.87","22,764.68"
2018年7月18日,"22,917.52","22,949.32","22,794.19","22,794.19"
2018年7月17日,"22,605.73","22,832.22","22,575.42","22,697.36"
2018年7月13日,"22,397.62","22,692.86","22,316.52","22,597.35"
日付,始値,安値,高値,終値
2018年7月12日,"22,036.87","22,233.52","22,019.19","22,187.96"
2018年7月11日,"22,002.14","22,044.62","21,744.25","21,932.21"
2018年7月10日,"22,215.34","22,321.6","22,196.89","22,196.89"
2018年7月9日,"21,838.53","22,105.95","21,825.76","22,052.18"
2018年7月6日,"21,647.66","21,866.16","21,642.96","21,788.14"
2018年7月5日,"21,697.44","21,751.5","21,462.95","21,546.99"
2018年7月4日,"21,679","21,784","21,604.18","21,717.04"
2018年7月3日,"21,889.06","21,927.81","21,574.56","21,785.54"
2018年7月2日,"22,233.8","22,312.25","21,784.48","21,811.93"
2018年6月29日,"22,314.47","22,332.82","22,145.48","22,304.51"
日付,始値,安値,高値,終値
2018年6月28日,"22,195.19","22,299.39","22,038.4","22,270.39"
2018年6月27日,"22,320.88","22,356.54","22,205.34","22,271.77"
2018年6月26日,"22,160.33","22,368.78","22,104.12","22,342"
2018年6月25日,"22,543.56","22,556.55","22,312.79","22,338.15"
2018年6月22日,"22,456.45","22,535.65","22,414.18","22,516.83"
2018年6月21日,"22,523.28","22,782.01","22,491.08","22,693.04"
2018年6月20日,"22,338.53","22,581.4","22,167.16","22,555.43"
2018年6月19日,"22,565.92","22,618.52","22,278.48","22,278.48"
2018年6月18日,"22,806.57","22,806.89","22,601.13","22,680.33"
2018年6月15日,"22,883.24","22,885.84","22,770.38","22,851.75"
日付,始値,安値,高値,終値
2018年6月14日,"22,842.96","22,898.39","22,738.61","22,738.61"
2018年6月13日,"22,896.17","22,993.26","22,895.31","22,966.38"
2018年6月12日,"22,977.22","23,011.57","22,797.73","22,878.35"
2018年6月11日,"22,686.95","22,856.08","22,667.3","22,804.04"
2018年6月8日,"22,799.38","22,879","22,694.5","22,694.5"
2018年6月7日,"22,748.72","22,856.37","22,732.18","22,823.26"
2018年6月6日,"22,520.31","22,662.82","22,498.59","22,625.73"
2018年6月5日,"22,552.17","22,602.13","22,470.04","22,539.54"
2018年6月4日,"22,365.09","22,515.72","22,355.83","22,475.94"
2018年6月1日,"22,126.25","22,316.91","22,098.04","22,171.35"
日付,始値,安値,高値,終値
2018年5月31日,"22,163.4","22,254.42","22,098","22,201.82"
2018年5月30日,"22,051.97","22,079.23","21,931.65","22,018.52"
2018年5月29日,"22,431.95","22,439.1","22,240.39","22,358.43"
2018年5月28日,"22,488.95","22,547.67","22,410.91","22,481.09"
2018年5月25日,"22,380.22","22,509.36","22,318.15","22,450.79"
2018年5月24日,"22,621.29","22,644.69","22,366.6","22,437.01"
2018年5月23日,"22,868.79","22,949.73","22,649.85","22,689.74"
2018年5月22日,"23,025.95","23,031.67","22,952.87","22,960.34"
2018年5月21日,"22,937.58","23,050.39","22,935.31","23,002.37"
2018年5月18日,"22,907.2","22,954.19","22,867.3","22,930.36"
日付,始値,安値,高値,終値
2018年5月17日,"22,820.62","22,887.03","22,799.16","22,838.37"
2018年5月16日,"22,730.12","22,796.14","22,695.84","22,717.23"
2018年5月15日,"22,889.47","22,912.06","22,805.72","22,818.02"
2018年5月14日,"22,705.3","22,894.76","22,683.64","22,865.86"
2018年5月11日,"22,573.95","22,769.16","22,545.47","22,758.48"
2018年5月10日,"22,482.51","22,530.64","22,418.75","22,497.18"
2018年5月9日,"22,463.01","22,478.64","22,364.75","22,408.88"
2018年5月8日,"22,440.65","22,566.68","22,423.23","22,508.69"
2018年5月7日,"22,513.22","22,513.48","22,350.91","22,467.16"
2018年5月2日,"22,568.19","22,568.19","22,426.55","22,472.78"
日付,始値,安値,高値,終値
2018年5月1日,"22,453.42","22,519.45","22,411.43","22,508.03"
2018年4月27日,"22,466.66","22,495.56","22,357.53","22,467.87"
2018年4月26日,"22,278.77","22,381.66","22,265.2","22,319.61"
2018年4月25日,"22,118.62","22,228.78","22,080.76","22,215.32"
2018年4月24日,"22,228.82","22,304.69","22,149.59","22,278.12"
2018年4月23日,"22,157.88","22,204.86","22,065.52","22,088.04"
2018年4月20日,"22,148.22","22,261.35","22,076.63","22,162.24"
2018年4月19日,"22,231.86","22,360.65","22,176.86","22,191.18"
2018年4月18日,"21,929.01","22,194.11","21,914.96","22,158.2"
2018年4月17日,"21,801.83","21,889.89","21,772.42","21,847.59"
日付,始値,安値,高値,終値
2018年4月16日,"21,843.55","21,879.69","21,775.61","21,835.53"
2018年4月13日,"21,801.41","21,917.35","21,746.69","21,778.74"
2018年4月12日,"21,657.87","21,719.43","21,591.39","21,660.28"
2018年4月11日,"21,819.09","21,837.36","21,687.1","21,687.1"
2018年4月10日,"21,599.67","21,933.99","21,542.37","21,794.32"
